Speaker,Block,Position,Word,POA,V,Rep,V1,C,V2,amp,peakF,tiltLF,tiltHF,mu1,mu2,mu3,mu4
F01,1,CV,saadhaaranangaa,alveolar,a,rep1,NA,s,a,57.05,8529.8,0.003,-0.001,8516.2,1353.9,-2.589,11.838
F01,1,CV,saadhaaranangaa,alveolar,a,rep2,NA,s,a,54.78,9121.4,0.003,-0.008,8294,1561.3,-2.373,7.988
F01,1,CV,saagunu,alveolar,a,rep1,NA,s,a,48.07,7911.4,0.003,-0.005,6949.1,1731.3,-1.803,4.282
F01,1,CV,saagunu,alveolar,a,rep2,NA,s,a,46.56,9138.5,0.002,-0.008,6894.6,2030.6,-0.591,-0.063
F01,1,CV,saahityam,alveolar,a,rep1,NA,s,a,55.29,8016.9,0.002,-0.005,7446.5,1916.5,-1.878,4.084
F01,1,CV,saahityam,alveolar,a,rep2,NA,s,a,51.32,8195,0.002,-0.004,7753.2,2001,-1.977,4.086
F01,1,CV,saampradaaya,alveolar,a,rep1,NA,s,a,51.09,9400.4,0.003,0.003,8584.6,1725.3,-2.08,5.908
F01,1,CV,saampradaaya,alveolar,a,rep2,NA,s,a,50.37,8279.5,0.003,-0.008,7828.1,1448.6,-2.201,7.847
F01,1,CV,saaphii,alveolar,a,rep1,NA,s,a,53.37,9805.6,0.003,-0.027,8863.6,1399.8,-3.704,17.171
F01,1,CV,saaphii,alveolar,a,rep2,NA,s,a,47.97,10008.7,0.002,-0.039,8566.9,1797.4,-2.238,6.078
F01,1,CV,saayantram,alveolar,a,rep1,NA,s,a,50.54,8192.2,0.003,-0.003,8339.6,1196.6,-2.594,14.262
F01,1,CV,saayantram,alveolar,a,rep2,NA,s,a,52.3,9461.4,0.003,-0.007,8443.4,1659.9,-2.404,7.465
F01,1,CV,seevalni,alveolar,e,rep1,NA,s,e,53.94,8147.9,0.002,-0.0008,7762.6,2171,-1.717,2.937
F01,1,CV,seevalni,alveolar,e,rep2,NA,s,e,55.28,7050.3,0.002,0.0001,7774.1,1925.3,-1.695,3.344
F01,1,CV,siiTunu,alveolar,i,rep1,NA,s,i,52.99,7952.2,0.002,-0.01,7047,2125.9,-1.678,2.405
F01,1,CV,siiTunu,alveolar,i,rep2,NA,s,i,53.12,10099,0.002,0.004,8810.5,1709.5,-1.848,4.736
F01,1,CV,soomari,alveolar,o,rep1,NA,s,o,54.3,7373.1,0.003,-0.005,7009.3,1604.7,-0.968,1.777
F01,1,CV,soomari,alveolar,o,rep2,NA,s,o,51.86,4681.2,0.002,-0.003,6022,1727.5,-0.468,0.828
F01,1,CV,suucana,alveolar,u,rep1,NA,s,u,58.4,8343.5,0.004,-0.008,7385.2,1584.8,-1.844,4.798
F01,1,CV,suucana,alveolar,u,rep2,NA,s,u,57.45,5418.2,0.003,-0.003,6643.9,1329.5,-0.196,2.604
F01,1,CV,suudi,alveolar,u,rep1,NA,s,u,55.09,4758.8,0.001,-0.002,4582,1967.2,-0.199,0.594
F01,1,CV,suudi,alveolar,u,rep2,NA,s,u,55.97,4511.7,0.003,-0.003,4594.2,1527.9,0.013,2.73
F01,1,CV,shaakaahaarulu,palatal,a,rep1,NA,sh,a,60.59,4187.9,0.004,-0.003,4445.1,1152.9,1.219,5.607
F01,1,CV,shaakaahaarulu,palatal,a,rep2,NA,sh,a,58.35,3908.4,0.003,-0.004,3934.9,973.2,0.822,6.04
F01,1,CV,shaakhakuu,palatal,a,rep1,NA,sh,a,61.52,4707.6,0.004,-0.003,4572.8,1332,0.545,2.739
F01,1,CV,shaakhakuu,palatal,a,rep2,NA,sh,a,59.86,4082.6,0.003,-0.004,4589.9,1347.5,0.354,1.607
F01,1,CV,shaalivaahanuDu,palatal,a,rep1,NA,sh,a,61.96,4667.3,0.005,-0.004,4738,989.8,1.129,5.975
F01,1,CV,shaalivaahanuDu,palatal,a,rep2,NA,sh,a,60.97,4016.6,0.006,-0.004,4325.3,1326.5,0.584,2.133
F01,1,CV,shaantiyuta,palatal,a,rep1,NA,sh,a,55.11,8735.7,0.004,-0.006,7982.1,1479.5,-1.82,5.429
F01,1,CV,shaantiyuta,palatal,a,rep2,NA,sh,a,60.19,5582.1,0.004,-0.004,5688,996.4,-0.44,6.751
F01,1,CV,shaapanaardhaalu,palatal,a,rep1,NA,sh,a,57.39,4748.4,0.004,-0.004,5171.5,1617.3,-0.146,0.33
F01,1,CV,shaapanaardhaalu,palatal,a,rep2,NA,sh,a,50.71,2297.5,-0.005,-0.0002,4557.4,2820.9,0.201,-1.263
F01,1,CV,shaariirika,palatal,a,rep1,NA,sh,a,59.75,4707.3,0.002,-0.003,3989.5,1522.9,0.176,0.871
F01,1,CV,shaariirika,palatal,a,rep2,NA,sh,a,56.31,6556.6,0.002,-0.003,4881.4,1944.2,-0.158,-0.13
F01,1,CV,shiitakaalam,palatal,i,rep1,NA,sh,i,58.21,4233.9,0.004,-0.003,4317.8,1642,0.376,0.549
F01,1,CV,shiitakaalam,palatal,i,rep2,NA,sh,i,50.11,7957.5,0.0006,-0.005,6449.8,2537,-1.088,0.032
F01,1,CV,Saapingu,retroflex,a,rep1,NA,S,a,58.27,4288,0.002,-0.004,4101.2,1629.5,-0.067,0.675
F01,1,CV,Saapingu,retroflex,a,rep2,NA,S,a,59.48,4470.6,0.003,-0.003,4564.7,1223.4,0.595,3.135
F01,1,CV,Saapulaloo,retroflex,a,rep1,NA,S,a,56.09,4942.2,0.006,-0.005,4693.9,1345.4,0.272,0.388
F01,1,CV,Saapulaloo,retroflex,a,rep2,NA,S,a,55.6,6061.8,0.005,-0.006,4578,1288.3,0.413,0.055
F01,1,CV,SaapuluNTaayi,retroflex,a,rep1,NA,S,a,58.07,3822.2,0.004,-0.003,4223.5,1659.8,0.365,0.048
F01,1,CV,SaapuluNTaayi,retroflex,a,rep2,NA,S,a,57.72,4141.2,0.003,-0.003,4436.1,1580.9,0.325,0.976
F01,1,CV,Saavukaarlu,retroflex,a,rep1,NA,S,a,58.35,2231.5,0.004,-0.002,4317.5,1591.8,0.63,1.043
F01,1,CV,Saavukaarlu,retroflex,a,rep2,NA,S,a,54.54,3128.7,0.014,-0.004,3688,1318.1,1.247,1.556
F01,1,CV,Saavukaaruku,retroflex,a,rep1,NA,S,a,60.62,3758,0.009,-0.002,4149.6,1414.9,1.67,3.465
F01,1,CV,Saavukaaruku,retroflex,a,rep2,NA,S,a,61.61,2247.7,0.001,-0.003,3887.8,1149.1,0.993,3.405
F01,1,CV,Saavukaarutoo,retroflex,a,rep1,NA,S,a,60.91,4189,0.002,-0.003,4445.5,2036.2,0.009,-0.43
F01,1,CV,Saavukaarutoo,retroflex,a,rep2,NA,S,a,58.17,3197.9,0.012,-0.003,4067.9,1541.4,1.045,0.673
F01,1,CV,Seervaani,retroflex,e,rep1,NA,S,e,59.95,4556.2,0.002,-0.003,4646.8,1538,0.147,1.756
F01,1,CV,Seervaani,retroflex,e,rep2,NA,S,e,60.32,4150.8,0.004,-0.003,4487.3,1081.8,1.35,5.822
F01,1,CV,Sooruum,retroflex,o,rep1,NA,S,o,53.3,6107.3,0.004,-0.006,5155.2,1434.8,-0.65,0.581
F01,1,CV,Sooruum,retroflex,o,rep2,NA,S,o,59.85,3234,0.009,-0.004,4074.4,1405.9,0.817,0.396
