Speaker,Block,Position,Word,POA,V,Rep,V1,C,V2,v1F2_1,v1F2_2,v1F2_3,v1F2_4,v1F2_5,v1F3_1,v1F3_2,v1F3_3,v1F3_4,v1F3_5,v2F2_1,v2F2_2,v2F2_3,v2F2_4,v2F2_5,v2F3_1,v2F3_2,v2F3_3,v2F3_4,v2F3_5
M01,1,CV,Saaping,retroflex,a,rep1,NA,S,a,0,0,0,0,0,0,0,0,0,0,1522.8,1347.2,1225,1210.8,1064.1,3128.6,3192.8,3166,3176.5,3164.1
M01,1,CV,Saaping,retroflex,a,rep2,NA,S,a,0,0,0,0,0,0,0,0,0,0,1341.2,1319.8,1128,1041.7,1326,2885.8,3174.7,3139.1,3125.7,3132.6
M01,1,CV,Saapingu,retroflex,a,rep1,NA,S,a,0,0,0,0,0,0,0,0,0,0,2135,1319.9,1152.7,1153.8,1176.5,3563.1,3325.1,3147,3276.8,3054.4
M01,1,CV,Saapingu,retroflex,a,rep2,NA,S,a,0,0,0,0,0,0,0,0,0,0,1504.5,1515.1,1431.3,1334.8,1234.2,3332.7,3254.8,3135.8,3173,2725.9
M01,1,CV,Saapulaloo,retroflex,a,rep1,NA,S,a,0,0,0,0,0,0,0,0,0,0,1357.9,1237.7,1260.8,1070.9,1067.9,3276.2,3096.1,2988.9,3297.5,3274
M01,1,CV,Saapulaloo,retroflex,a,rep2,NA,S,a,0,0,0,0,0,0,0,0,0,0,1563,1367,1300.4,1395.8,1127.5,3403,3270.7,3194.4,3138.7,3231.3
M01,1,CV,Saapuloo,retroflex,a,rep1,NA,S,a,0,0,0,0,0,0,0,0,0,0,1495.8,1289.3,1226.1,1223.1,1168.5,3266.1,3288.3,3140.2,3218.8,3302.7
M01,1,CV,Saapuloo,retroflex,a,rep2,NA,S,a,0,0,0,0,0,0,0,0,0,0,1466.6,1410.2,1374,1268,1198.5,2777.4,2372.8,3320.4,2782.5,2564
M01,1,CV,Saapulooki,retroflex,a,rep1,NA,S,a,0,0,0,0,0,0,0,0,0,0,1393.4,1216.5,1228.9,1245.4,1147.9,3248.7,2666.7,2989.4,3034.4,2907.8
M01,1,CV,Saapulooki,retroflex,a,rep2,NA,S,a,0,0,0,0,0,0,0,0,0,0,1516.6,1396.8,1534.7,1568.8,1348.3,2748.5,3147,3181,3316.8,3198.1
M01,1,CV,SaapuluNTaayi,retroflex,a,rep1,NA,S,a,0,0,0,0,0,0,0,0,0,0,1314,1287.4,1146.1,1141.1,1105.7,3196.6,3029.8,2649.3,3360.2,3168.8
M01,1,CV,SaapuluNTaayi,retroflex,a,rep2,NA,S,a,0,0,0,0,0,0,0,0,0,0,1525,1374.6,1278.8,1231.2,1274.9,3399.3,2573.3,3234.4,3256.1,3296.8
M01,1,CV,Saapulu,retroflex,a,rep1,NA,S,a,0,0,0,0,0,0,0,0,0,0,1542.7,1478.1,1299.5,1275.1,1242,3363,3099.9,3111.4,3049,3142.3
M01,1,CV,Saapulu,retroflex,a,rep2,NA,S,a,0,0,0,0,0,0,0,0,0,0,1479.2,1373.4,1663.7,1334.8,1228.2,3325.7,3192.2,3190.2,3089.3,2658
