Vowel	Ceiling	F2	F3
aa	4500	1155.0	1570.6
aa	4600	1565.5	3394.0
aa	4700	1563.0	3396.9
aa	4800	1554.3	3411.7
aa	4900	1551.2	3418.7
aa	5000	1546.7	3425.1
aa	5100	1547.0	3427.3
aa	5200	1547.2	3424.3
aa	5300	1548.0	3430.7
aa	5400	1547.4	3438.3
aa	5500	1544.0	3450.2
aa	5600	1536.6	3462.6
aa	5700	1523.7	3475.4
aa	5800	1497.5	3493.2
aa	5900	1464.7	3508.8
aa	6000	1435.9	3523.3
aa	6100	1421.2	3533.6
aa	6200	1417.0	3533.5
aa	6300	1416.4	3521.5
aa	6400	1417.7	3502.3
aa	6500	1419.5	3483.2
aa	4500	1547.5	3389.7
aa	4600	1554.8	3358.0
aa	4700	1560.1	3345.8
aa	4800	1560.8	3354.1
aa	4900	1557.9	3367.8
aa	5000	1555.9	3377.8
aa	5100	1553.5	3382.6
aa	5200	1552.7	3378.3
aa	5300	1553.6	3378.8
aa	5400	1554.6	3379.2
aa	5500	1555.2	3384.7
aa	5600	1553.2	3399.1
aa	5700	1544.9	3420.9
aa	5800	1530.0	3441.6
aa	5900	1503.5	3465.4
aa	6000	1474.2	3485.2
aa	6100	1452.8	3495.8
aa	6200	1440.9	3481.8
aa	6300	1436.3	3436.5
aa	6400	1435.5	3393.1
aa	6500	1436.7	3372.1
aa	4500	952.4	1381.8
aa	4600	954.2	1384.2
aa	4700	1381.6	3418.1
aa	4800	1380.5	3423.1
aa	4900	1374.5	3451.3
aa	5000	1371.4	3468.4
aa	5100	1369.8	3477.9
aa	5200	1369.7	3471.0
aa	5300	1370.6	3460.7
aa	5400	1371.5	3451.5
aa	5500	1371.1	3469.6
aa	5600	1369.7	3483.3
aa	5700	1365.0	3506.9
aa	5800	1354.9	3536.3
aa	5900	1341.3	3561.9
aa	6000	1324.4	3589.3
aa	6100	1308.5	3617.0
aa	6200	1297.5	3642.3
aa	6300	1291.8	3661.2
aa	6400	1288.1	3682.3
aa	6500	1287.8	3684.6
aa	4500	1073.8	1399.0
aa	4600	1076.5	1396.6
aa	4700	1077.8	1387.4
aa	4800	1054.4	1312.6
aa	4900	1288.9	3584.2
aa	5000	1285.1	3664.7
aa	5100	1288.3	3674.5
aa	5200	1291.1	3677.7
aa	5300	1291.5	3655.9
aa	5400	1287.6	3643.5
aa	5500	1279.5	3646.5
aa	5600	1260.6	3660.4
aa	5700	1236.1	3675.1
aa	5800	1215.4	3688.5
aa	5900	1202.7	3703.9
aa	6000	1198.3	3716.3
aa	6100	1196.6	3730.1
aa	6200	1196.8	3740.2
aa	6300	1197.6	3748.1
aa	6400	1198.7	3752.5
aa	6500	1199.5	3750.6
aa	4500	1605.6	3385.7
aa	4600	1612.4	3366.6
aa	4700	1615.3	3361.4
aa	4800	1621.4	3361.2
aa	4900	1616.6	3373.4
aa	5000	1614.7	3383.0
aa	5100	1611.3	3389.6
aa	5200	1609.0	3389.7
aa	5300	1610.0	3391.3
aa	5400	1612.0	3393.4
aa	5500	1612.5	3401.2
aa	5600	1611.5	3408.3
aa	5700	1602.3	3424.4
aa	5800	1582.7	3439.9
aa	5900	1539.8	3459.0
aa	6000	1481.5	3475.3
aa	6100	1428.0	3486.0
aa	6200	1398.2	3482.7
aa	6300	1386.8	3454.1
aa	6400	1385.0	3403.6
aa	6500	1387.6	3365.0
aa	4500	1569.7	3217.8
aa	4600	1561.3	3242.6
aa	4700	1549.0	3269.0
aa	4800	1544.5	3277.3
aa	4900	1539.9	3255.1
aa	5000	1540.9	3269.8
aa	5100	1542.3	3260.7
aa	5200	1546.2	3288.6
aa	5300	1549.2	3305.3
aa	5400	1551.9	3343.9
aa	5500	1552.2	3381.0
aa	5600	1546.4	3434.4
aa	5700	1530.2	3490.3
aa	5800	1491.2	3566.9
aa	5900	1435.8	3654.5
aa	6000	1391.8	3766.6
aa	6100	1371.8	3568.7
aa	6200	1366.0	3288.9
aa	6300	1367.4	3283.5
aa	6400	1370.0	3298.9
aa	6500	1373.2	3323.3
aa	4500	1163.1	1540.1
aa	4600	1176.4	1546.3
aa	4700	1192.0	1553.9
aa	4800	1200.4	1556.2
aa	4900	1208.3	1557.8
aa	5000	1182.6	1543.9
aa	5100	1156.0	1535.8
aa	5200	1524.3	3729.3
aa	5300	1523.2	3758.1
aa	5400	1524.4	3848.9
aa	5500	1525.9	3766.3
aa	5600	1527.9	3705.6
aa	5700	1526.5	3737.0
aa	5800	1522.5	3770.3
aa	5900	1513.3	3809.7
aa	6000	1500.1	3844.9
aa	6100	1485.7	3877.4
aa	6200	1473.0	3907.3
aa	6300	1465.8	3931.0
aa	6400	1461.6	3061.2
aa	6500	1459.0	3264.2
aa	4500	1269.8	1503.2
aa	4600	1276.0	1498.0
aa	4700	1274.5	1485.1
aa	4800	1263.8	1475.1
aa	4900	1195.8	1467.6
aa	5000	1466.5	3650.3
aa	5100	1467.6	3664.3
aa	5200	1469.4	3671.2
aa	5300	1473.4	3670.2
aa	5400	1474.9	3660.1
aa	5500	1476.9	3645.9
aa	5600	1474.6	3652.8
aa	5700	1467.5	3670.0
aa	5800	1456.2	3690.9
aa	5900	1443.9	3713.5
aa	6000	1434.5	3737.7
aa	6100	1429.3	3763.1
aa	6200	1427.1	3787.5
aa	6300	1426.3	3811.8
aa	6400	1426.7	3836.0
aa	6500	1427.4	3858.3
aa	4500	1027.1	1521.6
aa	4600	1031.4	1526.6
aa	4700	1036.0	1532.9
aa	4800	1035.2	1533.8
aa	4900	1033.7	1533.6
aa	5000	1272.2	2537.7
aa	5100	1261.7	2540.3
aa	5200	1483.4	3619.4
aa	5300	1475.2	3625.9
aa	5400	1466.8	3629.3
aa	5500	1467.8	3611.3
aa	5600	1469.8	3598.9
aa	5700	1472.3	3610.0
aa	5800	1473.2	3628.4
aa	5900	1470.1	3655.9
aa	6000	1460.7	3682.8
aa	6100	1440.2	3711.6
aa	6200	1404.9	3739.3
aa	6300	1360.8	3767.8
aa	6400	1326.4	3793.6
aa	6500	1307.6	3628.5
aa	4500	1056.5	1632.2
aa	4600	1059.9	1637.4
aa	4700	1060.6	1640.6
aa	4800	1060.8	1643.6
aa	4900	1056.3	1637.9
aa	5000	1052.8	1632.4
aa	5100	1613.8	3446.3
aa	5200	1601.1	3452.6
aa	5300	1592.4	3451.1
aa	5400	1589.1	3433.4
aa	5500	1593.1	3437.3
aa	5600	1595.9	3438.3
aa	5700	1598.4	3447.5
aa	5800	1598.6	3460.2
aa	5900	1594.4	3475.5
aa	6000	1582.5	3491.8
aa	6100	1555.3	3510.2
aa	6200	1515.1	3525.4
aa	6300	1465.2	3540.3
aa	6400	1432.8	3548.7
aa	6500	1415.0	3549.1
aa	4500	1059.6	1626.5
aa	4600	1064.2	1632.6
aa	4700	1070.1	1641.0
aa	4800	1065.6	1638.8
aa	4900	1062.8	1637.7
aa	5000	1053.0	1624.7
aa	5100	1601.7	3552.2
aa	5200	1596.1	3556.6
aa	5300	1586.0	3566.5
aa	5400	1587.4	3560.1
aa	5500	1589.3	3548.9
aa	5600	1591.4	3548.7
aa	5700	1592.0	3554.7
aa	5800	1588.1	3569.1
aa	5900	1577.4	3585.9
aa	6000	1556.8	3604.2
aa	6100	1525.8	3622.9
aa	6200	1491.2	3641.9
aa	6300	1465.0	3660.2
aa	6400	1450.2	3677.6
aa	6500	1443.1	3693.8
aa	4500	1571.4	3535.3
aa	4600	1033.9	1575.5
aa	4700	1036.5	1581.1
aa	4800	1035.5	1581.0
aa	4900	1033.0	1577.0
aa	5000	1030.9	1573.5
aa	5100	1568.8	3528.8
aa	5200	1567.7	3531.8
aa	5300	1569.3	3529.8
aa	5400	1569.8	3528.8
aa	5500	1571.3	3525.2
aa	5600	1568.0	3530.7
aa	5700	1561.0	3538.5
aa	5800	1546.3	3550.6
aa	5900	1527.7	3562.6
aa	6000	1508.7	3574.5
aa	6100	1494.8	3583.9
aa	6200	1486.3	3589.2
aa	6300	1482.3	3586.3
aa	6400	1481.0	3571.3
aa	6500	1481.5	3546.0
ee	4500	2433.9	3026.6
ee	4600	2439.3	3037.9
ee	4700	2444.6	3050.2
ee	4800	2445.7	3055.5
ee	4900	2443.6	3053.1
ee	5000	2435.6	3036.8
ee	5100	2436.1	3038.6
ee	5200	2433.5	3035.2
ee	5300	2446.0	3056.1
ee	5400	2458.4	3075.2
ee	5500	2479.1	3103.4
ee	5600	2501.2	3127.1
ee	5700	2531.3	3138.2
ee	5800	2562.7	3062.5
ee	5900	2576.7	2870.5
ee	6000	2504.4	2820.6
ee	6100	2462.4	2821.3
ee	6200	2460.7	2846.6
ee	6300	2510.3	2867.9
ee	6400	2540.0	2921.0
ee	6500	2558.4	3017.6
ee	4500	1494.9	2800.9
ee	4600	825.3	2459.0
ee	4700	887.2	2463.2
ee	4800	876.1	2466.7
ee	4900	2464.1	3168.3
ee	5000	2462.6	3168.9
