Vowel	Ceiling	F2	F3
a	4000	920.4	1084.2
a	4100	978.0	1073.9
a	4200	1014.2	1068.9
a	4300	1079.8	3166.4
a	4400	1087.1	3025.5
a	4500	1092.9	2882.9
a	4600	1092.9	2977.9
a	4700	1088.6	3097.9
a	4800	1083.0	3173.5
a	4900	1070.0	3164.5
a	5000	1056.7	3164.6
a	5100	1049.2	3168.3
a	5200	1046.7	2968.6
a	5300	1050.6	3168.7
a	5400	1051.2	3167.8
a	5500	1051.0	3168.4
a	5600	1051.4	3168.3
a	5700	1051.7	3168.4
a	5800	1052.3	3167.5
a	5900	1053.3	3165.3
a	6000	1054.4	3162.5
a	4000	989.6	2011.6
a	4100	981.6	2027.9
a	4200	960.2	2037.8
a	4300	924.2	2000.9
a	4400	904.9	1891.7
a	4500	901.3	1859.6
a	4600	902.9	1865.6
a	4700	905.3	1882.3
a	4800	908.5	1911.7
a	4900	912.0	1946.4
a	5000	915.5	1983.7
a	5100	918.1	2015.9
a	5200	918.6	2048.1
a	5300	920.2	2036.9
a	5400	1020.4	1137.6
a	5500	1171.3	3134.6
a	5600	1295.0	3104.5
a	5700	1310.1	3113.9
a	5800	1260.9	3129.7
a	5900	1097.1	3141.9
a	6000	1001.8	3138.5
a	4000	1201.3	2703.9
a	4100	1202.7	2776.1
a	4200	1202.3	2834.4
a	4300	1200.2	2866.8
a	4400	1201.4	2811.7
a	4500	1199.9	2861.5
a	4600	1196.1	2941.8
a	4700	1193.3	3018.9
a	4800	1190.0	3048.2
a	4900	1186.2	2834.6
a	5000	1182.2	2764.1
a	5100	1178.2	2816.3
a	5200	1175.3	2932.8
a	5300	1173.6	3032.4
a	5400	1175.8	3102.0
a	5500	1177.6	3088.2
a	5600	1178.6	3087.4
a	5700	1178.2	3088.4
a	5800	1178.2	3085.5
a	5900	1178.9	3081.6
a	6000	1179.8	3079.2
a	4000	1218.6	2203.4
a	4100	1218.7	2267.7
a	4200	1216.9	2321.9
a	4300	1211.7	2378.9
a	4400	1207.0	2327.4
a	4500	1200.9	2226.0
a	4600	1198.6	2186.0
a	4700	1195.4	2113.0
a	4800	1195.0	2138.4
a	4900	1198.5	2192.7
a	5000	1200.0	2231.2
a	5100	1205.8	2329.9
a	5200	1209.0	2381.0
a	5300	1217.1	2511.6
a	5400	1225.3	2663.1
a	5500	1233.3	2823.8
a	5600	1226.6	2658.2
a	5700	1221.1	2600.1
a	5800	1219.1	2619.4
a	5900	1220.1	2672.9
a	6000	1222.9	2737.0
a	4000	1136.9	2868.6
a	4100	1136.6	2922.2
a	4200	1129.8	2988.8
a	4300	1132.3	2927.3
a	4400	1133.9	2867.5
a	4500	1135.9	2908.9
a	4600	1131.9	2976.5
a	4700	1117.8	3086.5
a	4800	1093.8	3130.1
a	4900	1062.9	3198.4
a	5000	1046.5	3068.4
a	5100	1040.5	2967.6
a	5200	1040.5	3088.7
a	5300	1042.9	3127.4
a	5400	1044.5	3149.0
a	5500	1047.3	3242.1
a	5600	1049.6	3221.7
a	5700	1052.1	3216.9
a	5800	1053.4	3220.5
a	5900	1053.3	3224.2
a	6000	1052.7	3226.2
a	4000	1292.7	2963.6
a	4100	681.4	1336.8
a	4200	680.7	1369.1
a	4300	674.5	1351.2
a	4400	1270.8	3115.8
a	4500	1268.5	3030.7
a	4600	1276.0	2940.4
a	4700	1280.9	2996.5
a	4800	1280.4	3049.6
a	4900	1251.9	3168.4
a	5000	1189.8	3225.7
a	5100	1105.6	3253.3
a	5200	1079.5	3154.0
a	5300	1072.6	2907.3
a	5400	1075.3	2982.8
a	5500	1080.7	3097.1
a	5600	1085.7	3204.5
a	5700	1096.0	3257.9
a	5800	1099.7	3255.8
a	5900	1102.2	3255.6
a	6000	1105.1	3256.3
a	4000	976.7	1800.5
a	4100	974.6	1823.8
a	4200	971.2	1845.8
a	4300	1205.2	2843.9
a	4400	1203.3	2726.1
a	4500	1205.8	2701.4
a	4600	1210.0	2634.6
a	4700	1207.5	2672.4
